poblacion,pib_per_capita_pesos_corrientes,pib_per_capita_dolares_corrientes,Año,Trimestre
42435576.28903489,92319.91653624314,12146.77141053412,2014,1
42552377.40085711,110513.90808602828,13715.804367292169,2014,2
42669500.0,109809.18732767607,13232.90730353354,2014,3
42784649.54042702,117111.25954499809,13756.949963863108,2014,4
42900109.82779649,118710.50588846982,13663.515580070967,2015,1
43015881.70070195,138355.38457112416,15458.06256892839,2015,2
43131966.0,144248.71696716995,15598.521401911374,2015,3
43246112.57528105,151508.1897799909,14892.61661861124,2015,4
43360561.233723536,161590.27571941682,11197.295517444194,2016,1
43475312.77477533,193547.92283544867,13613.407838616064,2016,2
43590368.0,195631.0353993348,13090.0954485539,2016,3
43703537.27178276,205104.85954119609,13268.678019619469,2016,4
43817000.35352088,210897.0868941697,13460.125305119376,2017,1
43930758.008003466,240337.49435235365,15299.3984923302,2017,2
44044811.0,252388.92086219412,14615.122791367448,2017,3
44156805.86332571,265540.1675115616,15122.317371484176,2017,4
44269085.50138711,281410.6098213545,14287.6439408773,2018,1
44381650.63829466,325165.77921609464,13847.853901805012,2018,2
44494502.0,343329.51188869,10741.745419894633,2018,3
44605141.14582683,376947.19182318734,10161.45172170788,2018,4
44716055.40475841,391002.9339286087,10028.160725895112,2019,1
44827245.46088552,473675.2824413172,10781.529585541984,2019,2
44938712.0,496317.8296872307,9835.93484471713,2019,3
45047826.69782156,559676.8462420888,9427.297835371235,2019,4
45157206.33464005,553621.2292972466,8997.898398968138,2020,1
45266851.55374802,530749.568711937,7846.204591399651,2020,2
45376763.0,606838.7801349439,8284.945435024933,2020,3
45484375.58388711,709639.8847229737,8867.535404611337,2020,4
45592243.37478867,809617.4467717413,9143.12495642971,2021,1
45700366.97793707,1019188.803849439,10839.083775169209,2021,2
45808747.000000015,1037374.9071813988,10671.17501799629,2021,3
45914898.2096544,1184244.9583443515,11786.419124849252,2021,4
46021295.40026327,1302271.919047365,12220.63951317738,2022,1
46127939.14183079,1697252.576824895,14399.611024099557,2022,2
46234830.00568195,1894335.1401795675,13980.424987431954,2022,3
46339412.37389869,2242981.990496925,13828.522221915036,2022,4
46444231.30558373,2538273.080346143,13196.282287751445,2023,1
